undergrad_uni,undergrad_uni_tier
Sacred heart university,3
University School of Information and Communication Technology,3
HMRITM,3
Bharati Vidyapeeth University,3
Velammal Engineering College ,3
Potti sriramulu college of engineering and technology,3
Vivekananda Education Society's Institute of Technology ,3
Gtbit,3
Jss Academy Of Technical Education ,3
L d collge of engineering,3
national institute of electronics and information technology aurangabad,3
Sreenidhi Institute of Science and Technology,3
SGGSIET,3
"gitam university, Visakhapatnam",3
IIIT Sri City,2
Indian school of mines dhanbad,1
Sims college of pharmacy,3
RNS Institute Of Technology,3
Watumull Institute ,3
Dr. Mahalingam college of Engineering & Technology,3
K.I.E.T Ghaziabad,3
East West Institute Of Technology,3
Methodist College of Engineering and Technology,3
Shahbad Gormit College,3
Viva institute of technology,3
Virginia Polytechnic Institute and State University,2
JEPPIAARINSTITUTEOFTECCHNOLOGY,3
Sri eshwar college of engineering ,3
Boston University,1
Himalayan University,3
Kakatiya Institute Of Technology And Science,3
University of North Carolina at Greensb ,3
Ashokrao mane Group of institution vathar,3
"College of Engineering & Management,Kolaghat",3
vivekanandha collge of engineering,3
L.D. College of,3
Gandhi Engineering College,3
Robert Morris University,3
"Pillai institute of information technology,engineering,Media studies ",3
G. H. Patel College of Engineering and Technology,3
"Gokhale Education Society,R.H.Sapat COE",3
k.k.wagh institute of engineering education and research,3
Birendra Multiple college,3
L. S. Raheja School of Architecture,3
Indian Institute of Technology  Jodhpur,1
Yashwant Rao Chavan Maharashtra Open University,3
"College of Engineering - Guindy , Anna Univers",2
"Shah & Anchor Kutchhi Engineering College, Chembur",3
"Graduate School of Business, Indore",3
Dwarkadas J. Sanghavi College Of Engineering,2
Avinashilingam  University,3
Sphoorthy Engineering College,3
Vr Siddhartha Engg College,2
GDC DAVV,3
sri chandrasekharendra saraswathi,3
BNM Institute Of Technology,3
VIDYALANKAR INSTITUTE OF TECHNOLOGY,3
Manmohan Memorial Institute of Health Sciences,3
JBR architecture college,3
bangalore university,3
Raghu Institute of Technology,3
"ssjcet,asangaon",3
saint marys,3
St.Joseph Dental college,3
"Meenakshi College of Engineering , KK Nagar",3
UNIVERSITY OF HOUSTON,2
"College of Engineering, Kidangoor",3
"Jawaharlal Nehru Technological University, Kakinada",2
NorthsouthUniversity,2
Jawaharlal Nehru Technological University Anantapur College of Engineering,2
CEPT University,2
MGM college of engineering nanded,3
Ganeshi lal bajaj institute of technology,3
Shri Mata Vaishno Devi University,3
Bangalore Technological Institute,3
The Hong Kong University of Science and Technology,1
National Institute of Technology Tiruchirappalli ,2
Velagapudi Ramakrishna Siddartha Engineering College,2
D. J. Sanghvi College of Engineering,2
Jacobs University Bremen,2
SRM Univerisity AP,2
KLS Gogte Institute of technology,3
Lokamanya Tilak college of engineering,3
ANGRAU,3
Gangamai college of engineering,3
JAIN COLLEGE OF ENGINEERING BELGAUM,3
"GH Raisoni Institute Of Engineering And Technology, Wagholi",3
RVR & JC College of Engineering,2
Technocrats Institute of Technology,3
IIITDM Jabalpur,2
"RMK Engineering College , Kavaraipettai",3
National Institute of Technology,2
St Mary’s icse ,3
Dr. Bhanuben Nanavati College of Architecture ,3
St. Thomas' College Of Engineering And Technology,3
terna engg college,3
HR college of conmerce,3
University of Toronto,1
Info Institute of Engineering,3
Gnanamani College of Technology,3
istar collage,3
"University College of Engineering, JNTU Kakinada",3
Jawahar Institute of Technology & Management,3
"Sinhgad Academy of Engineering,Kondhawa",3
balaji Institute of technology and science,3
VTU,3
Babu jagjeevan ram degree college ,3
Chaitanya degree and Pg college,3
Sree vidyanikethan engineering college ,3
Georgia State University,2
"Indian Institute of Information Technology, Design and Manufacturing Kurnool",2
That Average College,3
aditya bangalore institute of pharmacay and education research,3
Affiliated to GTU,3
Indira College Of Engineering & Management,3
chaithanya Engineering College ,3
IMU KOLKATA,2
kamla Nehru Institute of technology,2
IIT Jodhpur,1
Tunghai University,2
"Army Institute Of Technology, Pune",2
St Peter's engineering college,3
"UNIVERSITY COLLEGE OF ENGINEERING,BIT CAMPUS",2
"NIE Institute of Technology,Mysore",2
New Horizon College Of Engineering,3
"Institute of Engineering and Technology, Indore",2
University of San Francisco ,2
Padmabhushan Vasantdada Patil Pratishthans college of engineering,3
Tamkang University,2
Adhichunchanagiri Institute of Technology,3
University of Lagos,2
"Maharaja Agrasen Institute of Technology , New Delhi",2
"DECCAN COLLEGE OF ENGINEERING AND TECHNOLOGY, Hyderabad",3
G.N Khalsa College,3
Nutan Maharashtra Institute Of Engineering & Technology,3
Aditya Pharmaceutical Science & Research Institutions,3
Ilahia college of engineering,3
Institution of Engineers India,3
Indian Institute of Technology Dhanbad,1
Vijay Rural Enginreering College,3
institute of technology bilaspur,3
Saffrony Institute of Technology,3
Pokhara University,3
BADRUKA COLLEGE,3
"Vignan Institute Of Technology And Science, Nalgonda",3
Institute of Engineering & Technology,3
Amity University Kolkata,3
Bansal College of Engineering,3
K.J.Somaiya College Of Engineering ,3
vaageswari engineering college,3
KNUST,2
Government Engineering College Ajmer,3
"Bhagwan Mahavir College of Engineering and Technology, Surat",3
Pvp Siddartha Institute Of Technology,3
KURUKSHETRA university,3
Truba Institute of Engg. & Information Technology,3
Acropolis technical campus,3
Sri venkateswara college of engineering,3
"Bijupattnaik University Of Technology, Rourkela",3
A.G Patil Institute of Technology,3
"KKWIEER, Nashik",3
Charotar University Of Science And Technology ,3
GLS University,3
"College of Agriculture, Dhule",3
"Guru Nanak Dev Engineering College, Ludhiana,",3
Ahmedabad University ,3
Shivnadar University,2
A J Institute Of Engineering And Technology,3
Government SKSJT Institute Of Technology,3
dayanand sagar college of engineering ,3
BMIET,3
"C.G.Patel Institue of technology,",3
Marri Laxman Reddy  Institute Of Technology  Hyderabad,3
AC Patil College of Engineering,3
Minia University,3
NIT Uttarakhand,2
Medi-Caps Institute of Science & Technology,3
"RGUKT, Basar",3
Sister Nivedita University,3
Govt.sksjti,3
BABA BANDA SINGH BAHADUR ENGINEERING COLLEGE,3
KLE,3
Kathmandu Engineering College,3
Uvce,3
"Koneru Lakshmaiah Education Foundation, Guntur",3
"Rajendra Mane College Of Engineering & Technology, Ambav Deorukh",3
gujarat technological university,3
Khammam Institute Of Technology And Sciences,3
"GITAM University , Hyderabad",3
venus international college of technology,3
Thapar University,2
"SRM Univerisity AP, Guntur",2
Dr.Ambedkar Institute of technology,3
sriram engineering college,3
Dwarkadas Jivanlal Sanghvi College of Engineering,3
St Stephen's College,1
Center for Management Studies-Jain university ,3
MES Abasaheb Garware College of Science,3
Bangalore University,3
sreenidhi institute of science and technology,3
chebrolu engineering college,3
TRR College Of Engineering,3
SGTB Khalsa College,1
"Dr D Y Patil Institutes Of Technology,pimpri,pune",3
"Heritage Institute of Technology, Kolkata ",3
Sree Vidyanikethan Engineering college,3
MANIT Bhopal,2
Northern India Engineering College,3
Shri Shankaracharya Institute of Professional Management and Technology,3
JSPM's Rajarshi Shahu College of Engineering,3
JNAFAU,3
KLUNIVERSITY ,2
Bennett University,2
Siliguri Institute of Technology,3
"Viva Institute Of Technology, Virar",3
Universidad de las Fuerzas Armadas ESPE,2
City Premier College,3
Padjadjaran University,2
Banglore Institute Of Technology,3
Smt. Chandibai Himmatmal Mansukhani College,3
Gitam university,2
M. H. Saboo Siddik College Of Engineering ,3
Noorul Islam Centre for Higher Education,3
"Rajiv Gandhi College Of Engineering And Research,Nagpur ",3
"Indian Institute of Information Technology, Pune",2
IIIT Pune,2
Aditya College of Architecture,3
Shree LR Tiwari College Of Engineering,3
University of California riverside ,2
Thakur college of engineering and technology.,3
indian institute of carpet technology ,3
Thia,3
Sri Jagadguru Balagangadharanatha Institute of Technology,3
St. Joseph's Institute Of Technology,3
Shri vishnu college of pharmacy,3
Indian Institute of Information Technology Sri City,2
Odisha University of Technology and Research,3
Rowan University,3
Usha Pravin Gandhi College Of Management SVKM,3
Guru Nanak Institutions Technical Campus,3
Xidian University,2
Mukesh Patel School Of Technology Management And Engineering ,2
velagapudi ramakrishna ,2
M A College of Engineering Kothamangalam,2
badruka institute of management studies,3
Nie Mysore ,2
Baba Instiutte of Technology and Sciences,3
"G.V .Aachrya College of engineering and  technology ,shelu -karjat",3
"Watumull Institute Of Electronics Engineering And Computer Technology, Worli",3
DBIT,2
vnr vignana jyothi institute of engineering and technology,2
Lovely Professional University,2
"JNTUA college of engineering,Pulivendula,kadapa",2
Delhi Public School Bangalore South,3
VVIET,3
San Jose State University,2
"Uicet, Panjab University, Chandigarh",2
Khader Memorial College Of Engineering And Technology,3
jorhat institute of science & technology,2
NIT Warangal,2
huic,3
"Southern Illinois University, edwardsville",3
Malwa Institute of Science & Technology,3
kent state of university,3
Gayatri college of Engineering(,2
Swami Vivekanand Institute of Technology,3
SACS MAVMM engineering college,3
saurashtra university ,3
ABC Uni,3
"Govt Dental College And Hospital , Amritsar",3
Dhaneshwar Rath Institute of Engineering and Management Studies,3
Indore Institute of Science & Technology-II,3
birla viswakarma mahavidalaya,2
JECRC Univeresity,2
Mar Athanasious,2
Govt. Dental College & Hospital,3
University College Of Engg Punjabi Uni,2
Lakshmi Narain College of Technology,2
Jawaharlal Nehru Engineering College,3
dwarkadas.j sanghvi college of engineering,2
GMRIT,2
vidyavardhini college of engineering,3
G.H.Raisoni college of engineering  Pune,2
JSPM's Rajarshi Shahu College of engineering tathwade pune ,2
"DKTES Textile and Engineering Institute, Ichalkaranji",3
"sri venkateswara college of engineering, chennai ,sriperumbudur, Chennai",2
Govt. Model Engineering College,2
"Dr. S & S. S. Ghandhy Government Engineering College, Surat",2
anonymous,3
Dr Bhanuben Nanavati College Of Pharmacy,3
sir jj college,2
"Fr. Conceicao Rodrigues College Of Engineering  , Mumbai",2
babxc,3
"ICFAI UNIVERSITY, Hyderabad",2
BVC Engineering College,3
ISM Dhanbad,1
Ramireddy Subbaramireddy Engineering college,3
Govt college of Technology Coimbato...,2
Prasad V Potluri Siddhartha Institute of Technology,3
St Joseph's Degree & Pg College,3
Kj Somaiya college of science and commerce,2
Rajiv Gandhi college of engineering research and technology chandrapur,3
Swami Ramananda Tirtha Institute Of Science And Technology,3
"BMS College of engineering
",2
Udaya School of Engineering,3
L.J. Institute of Engineering and Technology,3
anil neeru,3
University Of Engineering And Technology Peshawar,2
RGUKT,2
"Jai Hind College, Mumbai",2
Vasantrao Naik Marathwada Agricultural University ,2
"Covenant University, Ota",2
kongunadu engineering college,3
Sggs,2
Alok PG science college,3
Jadavpur University ,1
St. Peters Engineering College,3
the Hashemite university ,2
"R.A. Podar College of Commerce and Economics, Mumbai",2
Gecg,2
Don Bosco Institute of Technology,3
"Jawaharlal Nehru Engineering college ,Aurangabad",3
IIT Kharagpur,1
Jalpaiguri Government Engineering College,2
SRI KONDA LAXMAN TELANGANA STATE HORTICULTURE UNIVERSITY,2
Narasaraopeta institute of pharmaceutical sciences ,3
NATIONAL INSTITUTE OF TECHNOLOGY PUDUCHERRY ,2
Kurukshetra University,2
Rajiv Gandhi university of Knowledge Technologies- Kadapa ,2
SASTRA Deemed university,2
Abasaheb garware College,2
CVR College of Engineering,3
manjara charitable trust rajiv gandhi institute of technology,3
SRM UNIVERSITY,2
"Medicaps University, Indore",3
Covenant University,2
"Marathwada Mitra Mandal's College Of Engineering , Pune",3
Sandip University ,3
 Padmashree Dr DY Patil School of Physiotherapy,3
AMU,2
DDIT,2
St Martin's engineering college,3
SUNY BUFFALO,2
University Institute Of Technology,3
Guangxi Medical University ,2
AECS MAARUTI DENTAL COLLEGE,3
Delhi institute of engineering and technology,3
Dr Rajesh ramdasji kambe dental college akola,3
M.S. Ramaiah University of Applied Sciences,2
GNDEC,2
Osmania University,2
"Graphic Era University, Dehradun",2
"College of Veterinary and Animal Husbandry, Rajendranagar",2
ADDIS ABABA INSTITUTE OF TECHNOLOGY,2
thadomal shahani engineering college,2
"Sree Sastha College of Engineering , Chembarambakkam",3
MS Engineering College,3
Calicut University Institute of Engineering and Technology,2
Alvas Inst. Of Engg. And Technology,3
Vignan S Institute Of Technology And Aeronautical Engineering,3
"SIES College Of Arts Science & Commerce, Nerul",2
Temp,3
Jim’s medical college ,3
IITT college of engineering,3
Chandubhai s patel institute of technology,2
pda college of engineering,2
C.K.Pithawala College Of Engineering & Technology,3
"National Institute of Engineering, Mysore",2
"University of Engineering and Technology, Taxila",2
SGGSIE&T,2
"Fr. conceicao rodAGNEL INSTITUTE OF TECHNOLOGY, Mumbai",3
Rajiv Gandhi Proudyogiki Vishwavidyalaya,2
Netaji Institute Of Engineering And Technology,3
G.narayanamma institute of engineering,2
vignan University ,2
JNTU Kakinada ,2
"HMRITM, New Delhi",3
IDEA VIDYAVARDHAN'S,3
K.S Institute of Technology,3
Maharaja agarsen institute of technology,2
Farmingdale state college,3
Bharati Vidyapeeth Deemed University.,2
pccoer,3
"Kendriya Vidyalaya, CRPF, Bangalore",3
Dayananda Sagar Academy Of Technology And Mgmt.,3
Dr.Bhanuben Nanavati College of Architecture,2
AMC engineering collage bangalore,3
Priyadarshini indira gandhi college of engineering,3
The National Institute of Engineering ,2
Kathmandu University,2
"St. John College Of Engineering & Technology, Palghar",3
Universal Technical College,3
Sri Venkateswara Institute Of Science And Information Technology,3
"PERI Institute of Technology , Manivakkam",3
Lalbhai Dalpatbhai College of Engineering,2
Jawaharlal Nehru Architecture and Fine Arts University,3
Vadodara Institute of Engineering,3
Jansons,3
Shri Vaishnav Institute of Technology & Science,3
"Government Degree College For Women, Begumpet, Hyderabad",3
"Madras Institute of Technology campus, Anna University",2
"mgm college of engineering kamothe, Navi Mumbai",3
"Ambedkar institute of advance communication technologies and research, New Delhi",3
Govt. Engineering College,3
Maharaja Sayajirao University,2
Indira Gandhi National Open University,3
Gitam University,2
"CVR College Of Engineering, Hyderabad",3
PILLAI INSTTITUTE OF TECHNOLOGY,3
Dr dy patil college of physiotherapy,3
VSSUT,2
Bhoj Reddy Engineering College For Women,3
Maastricht University,2
joginapally B.R engineering college,3
MET IOP,3
Federal University of Pernambuco,2
Bharati vidyapeeth college of architecture,3
New Prince Shri Bhavani College of Engg & Tech,3
Smt. CHM College,3
"pad. Dr. d y patil clg of engg. mgt and research,akurdi",3
Srinivas Institute Of Technology,3
"Padmasri Dr BV Raju Institute Of Technology, Narsapur",3
bharath institute of higher education and research,3
Ballari Institute of technology and management,3
Government dental college and hospital hyderabad,3
University of Bristol,1
"MGM,s jawaharlal nehru engineering college, Aurangabad ",3
"SIES Graduate School Of Technology, Nerul",2
centannial,3
Calcutta Institute of Technology,3
"Marathwada Mitra Mandal's Institute Of Technology , Lohgaon",3
International Institute of Information Technology;Bengaluru,1
swarnandhra college of engineering and technology,3
"Veer Surendra Sai University of Technology, Burla",2
Dwarkadas J Sanghvi College of Engineering,2
Marri Laxman Reddy Institute Of Technology,3
Mahatma Gandhi University ,2
Bharati Vidyapeeth College of Architecture ,3
Mahatma Gandhi Mission's college of Engineering.,3
Kazakh-British Technical University,2
Vishwakarma University,3
"Middlesex University, Dubai",3
"shivaji university, kolhapur",3
D.J. Sanghvi College of Engineering,2
Zakir Hussain College Of Engineering and technology,2
gujarat ayurveda university,3
VJIT,3
Sri Sairam Institute of Technology,3
IIT Hyderabad,1
Bharati Vidyapeeth’s College of Engineering,3
Manipal University Jaipur ,3
Zeal College of engineering,3
Santa Clara University,2
sinhgad institute smt kashibai nvle college of engg pune,3
heriot-watt university,2
velagapu,3
"CU SHAH college of pharmacy, SNDT UNIVERSITY",3
G. H. Raisoni College of Engineering ,3
imsec,3
kls vishwanathrao deshapande rural institute of technologist,3
DELHI TECHNICAL CAMPUS,3
kkwagh college,3
Sri Vasavi Institute Of Engineering And Technology,3
Jain College Of Engineering,3
"Sri Venkateswara College Of Engineering , Chennai",2
Kalaignar Karunanidhi Institute of Technology,3
Rajasthan university,3
Amrita school of biotechnology ,2
"Gayatri vidya parishad college of engineering (A), Visakhapatnam",2
Sal Institute of Technology and Engineering Research ,3
"Rasiklal M Dhariwal Sinhgad Technical Institutes Campus, Warje",3
KNIT sultanpur,2
St Peter's college of engineering and technology,3
"Bharati Vidyapeeth's college of engineering, Kolhapur",3
"Shri Ramdeobaba College of Engineering and Management, Nagpur",2
"Vidya Vikas Institute of Engineering and Technology, Mysooru, Mysuru",3
HL Institute of Commerce,3
Sri Krishna College of Technology ,3
PVG COET,3
Shri Ram Institute of Technology,3
SRKNEC,2
"KJ College Of Engineering & Management Research, Pisoli",3
Institute of Engineering and Management Kolkata,2
"jntuv, Vizianagaram",2
Indian Institute of Information Technology Chittoor ,2
Professional institute of Technology,3
GITAM University ,2
"AMAL JYOTHI COLLEGE OF ENGINEERING, KANJIRAPALLY",3
"The National Institute of Engineering, Mysooru",2
SNBP Jr. College,3
"GRIET, Hyderabad",2
IILM institute of Engineering,3
"All India Shri Shivaji Memorial Society's College Of Engineering, Pune",3
psg institute of technology,2
SVKM,3
ses goi foe,3
NUCES-FAST Lahore,2
Mandsaur Institute of Technology,3
biju patnaik university of technology,3
m.s university,2
Northcap University,3
Dwarkadas Jamnadas Sanghvi College of Engineering,2
"Swami vivekanand Institute of Technology,",3
Late G.N Sapkal College Of Engineering ,3
Vignans Institute of Engineering for Womens,3
Rao And Naidu Engineering College ,3
g.pullaiah college of engineering and technology,3
Jyothy Institute Of Technology,3
"Vasantdada Patil Institute of Technology, Bavdhan",3
Geetanjali Institute of Technical Studies,3
MVSREC,2
dr dy patil biotechnology and bioinformatics institute,3
NATIONAL INSTITUTE OF FOUNDRY ,2
SANKETHIKA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,3
"Pillai's Institute Of Information Technology , New Panvel",3
JNTU pulivendula,2
Government College University Lahore,2
"VITS, Karimnagar",3
East Point College Of Engg. For Women,3
Bas ek college,3
Chadalawada ramanamma engineering college,3
Indian Institute of Information Technology Design & Manufacturing Kurnool,2
kakatiya institute of Technology & Science,2
"pravara rural engineering college,loni",3
cankaya university,3
"college of engineering,adoor",3
"jntu college of engineering,anantapuramu",2
Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College,3
svist,3
sri venkateshwara university,2
A.P.I.E.D,3
Indus University,3
University of Minnesota Duluth,2
Ladoke Akintola University of Technology,2
"RV College Of Engineering , Bengaluru",2
"Dr DY Patil College Of Engineering, Ambi, Pune",3
Prathyusha Institute Of Technology and Management,3
Indira National School,3
"KLE Technological University, Hubli, Karnataka",2
MET Institute of Engineering,3
MIT College Of Engineering And Technology,2
Government Women Engineering College Ajmer Rajasthan,2
R.V.R. & J.C. COLLEGE OF ENGINEERING,2
Sir Visvesvaraya Institute of Technology,2
"Government Engineering Collage, Bhuj",2
AMR Institute Of Technology,3
Mepco Schlenk Engineering College,2
Shri vaishnav institute of management,3
muffakham Jah college of engineering,2
"Bhanuben nanavati college of pharmacy,mumbai",3
Sarvjanik College of Engineering and Technology,2
Pandeet Deendayal Petroleum University ,2
Rungta College,3
sscet bhilai,3
"College of Technology, Pantnagar",2
Velammal in,3
CentraleSupélec,1
r v college of architecture,2
Sree Chitra Thirunal College Of Engineering,2
Shri Madhwa Vadiraja Institute of Technology and Management,3
"The Indian School , Ghubra",3
"School Of Engineering And Technology, Ahmedabad University",2
Marine Engineering & Research Institute,2
St Thomas College of Engineering and Technology,3
vivekananda Institute of professional studies ,2
BV RAJU INSTITUTE OF TECHNOLOGY,2
St Josephs college of engineering and technology ,3
B.S Abdur Rahman University ,2
"government college of engineering, amravati",2
Audisankara Coll,3
Mahatma Gandhi Engineering College nanded,3
college of art ,2
"Faculty of Engineering and Technology, GKV",2
Kakinada Institute of Technology and Science,3
Chandrawati  Group of Institutions - Faculty of Engineering,3
gnits,2
Manipal Academy of Higher Education,2
Sri Balaji Dental College,3
"Institute of Law, Nirma University",2
CTAE,2
L. J. Institute of Engineering and Technology,3
PDPU,2
"Govt college of engg, Amravati",2
Malla Reddy Engineering College for Women,3
St.mary's engineering college SMECD,3
Manav bharati university,3
DY Patil Institute nerul,2
tier 2,3
Samskruti College Of Engineering And Technology,3
Scope College of Engineering,3
VNR Vignan Jyothi,2
Maharani Girls Engineering College ,3
NMIMS Mukesh Patel School of Technology Management & Engineering,2
 College of Engineering Thalassery,2
C.K.pithawala College,3
university college of engineering jntuk viziangaram,2
Sri Ramachandra University,2
David Eccles School of Business,2
IFHE UNIVERSITY,2
Anantrao Pawar College Of Engineering & Research,3
Gopalan College Of Engineering Management,3
Durgapur Institute of Advanced Technology & Management,3
Hansraj college University of Delhi,1
KNRUHS ,2
sambalpur university institute of information technology,3
Western Region Campus,3
Vidhyapeeth Institute of Science & Technology,3
charusat University,2
University Of Mumbai ,2
Shri Guru Gobind Singhji Institute of Engineering and Technology,2
jkc college ,3
Illinois state university ,2
St.joseph's degree & pg college,3
Pragati Engineering College,3
Kommuri Pratap Reddy Institute Of Technology,3
Rnsit,2
godavari institute of engineering and technology autonomous ,3
Malls Reddy Institute of Dental Sciences,3
rgmcet,3
fabtech technical campus college of engineering and research sangola ,3
Jansons Institute of Technology,3
B S Abdur Rahman University,2
Aurora's Technological and research institute ,3
shs,3
Dharmsinh Desai University,2
vidhyavardhaka college of Engineering,3
Lalbhai Dalpathbhai College of Engineering,2
"smt.kashibai navale college of engineering,pine-41",3
"Netaji Subhas Institute of Technology, New Delhi",1
Jawaharlal Nehru University,1
Shri Vaishnav Vidyapeeth Vishwavidyalaya,3
jawaharlal Nehru architecture and fine arts university,2
Arunai Engineering college,3
Dr NTRUHS,2
University of central Missouri,3
Rashtrasant Tukadoji Maharaj Nagpur University,2
University of Canterbury,2
manubhai Patel dental college ,3
SLN College Of Engineering,3
Bangalore Institute of technology,2
Wesleyan University,1
MIT World Peace University,3
"devi ah, Indore",2
Parul Institute Of Technology,3
Prakasam engineering college ,3
narayana college of Physiotherapy ,3
Michigan Technological University,2
vignans lara institute of technology,3
Kammavari Sangam School of engineering and management,3
shri shankaracharya college of Engineering and Technology Bhilai,3
"Amrita University, Bengaluru",2
mallareddy institute of dental scienses,3
muffakham jah college of engineering and technology,3
kiit University ,2
YCCE,3
UNiversity of calgary,2
University of Virginia,1
Bansal Institute of Science & Technology,3
"National Institute of  Technology, Rourkella",2
"Acharaya Institute Of Technology, Bengaluru, Bengaluru",3
sheila raheja school of research,3
"Gogte Institute of Technology, Belagavi",3
Symbiosis International,2
"Siddhartha Institute Of Engineering And Technology, puttur",3
Sandip Institute Of Technology and Research Centre,3
ITM University,3
Government Engineering College Gandhinagar,2
University of Florida,1
Dayananada Sagar college of engineering ,3
s v university,2
Periyar Maniammai University,3
school of engineering and applied sciences - AU,3
Nirmala Memorial College of Science and Commerce,3
University of Allahabad,2
ABV-IIITM,2
svu college of engineering,2
Bharath Institute of Engineering and technology,3
NSRIT college of engineering,3
Sir MVIT,3
kathmandu Engineering College,3
Dr. MGR Educational and Research Institute ,3
University of Massachusetts Lowell,2
Mallareddy College Of Engineering,3
M.L.Dahanukar College of Commerce and Economics,3
Reva Institute Of Technology ,3
pune university,2
jawaharlal nehru technological university hyderabad,2
DRK Institute Of Science And Technology,3
"Indian Institute Of Information Technology, Kota",2
anna,3
Faculty of technology and engineering,3
Loyola ICAM College of Engineering and Technlogy,3
"Walchand College of Engineering,Sangli",2
"Khwopa college of engineering, TU",3
G Pulla Reddy Engineering College,3
Gec Bhavnagar,2
Sri Krishna College Of Engineering & Technology,3
sipna college of engineering and t,3
central university of rajasthan,2
mohammed haji saboo siddik college of engineering,3
SLC's Institute Of Engineering And Technology,3
Institute of Management and Entrepreneurship Development,3
Veltech Multitech DR.RR & DR.SR Engineering College,3
"St. Thomas' College Of Engineering And Technology, Kolkata, West Bengal",3
Sanjay Ghodawat university,3
Rishiraj Institute Of Technology ,3
ygg,3
ifim business school,3
divine child,3
maharishi dayanand,3
"LDCE, Ahmedabad",2
"SREE VIDYANIKTHEN ENGINEERING COLLEGE, TIRUPATHI",3
MAHATMA JYOTIBA PHULE ROHILKHAND UNIVERSITY,3
ramachandra college of engineering,3
Vel Tech Multi Tech,3
"mgm college of engineering, kamothe",3
West Yangon Technological University,3
M.L.Dahanukar college of commerce,3
"Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada",2
Sri Chandrasekarendra Saraswathi Viswa Maha Vidyalaya,3
bowling Green State University,2
Avinash college of commerce ,3
"sri chaitanya, vijayawada",3
BIT Sindri,2
Ahmedabad dental college,3
Priyadarshini Institute of Engineering and Technology,3
RYMEC,3
abc institute,3
R. V. R & J. C College of Engineering,2
VIDYALANKAR,3
GPREC,3
Abdulkalam Institute Of Technological Sciences,3
Biju Pattnaik University of Technology ,2
Sardar Patel Institute of Technology,2
pittsburg state university,2
Gannon University,2
XYZ Engg,3
"St Joseph College of Engineering, Sriperumbudur",3
Sri Krishna Institute Of Technology,3
GM Institute Of Techonology,3
Shaikh College Of Engineering?And Technology,3
Sri Sivasubramaniya Nadar College of Engineering,2
Ghousia College Of Engineering,3
DVR College Of Engineering And Technology,3
"M S Engineering College, Bengaluru",3
"Laxmi narain college of engineering,bhopal",3
Medicap Institute of Technology & Management,3
DR. NTRUHS,3
Punjab College of Engineering ,3
Stony brook university,2
XIE,3
Universidade Federal do Rio Grande do Sul,2
University of Central Punjab,3
mit adt,3
KETs V.G.Vaze College,3
Pillai College of Engineering,3
"BITS Pilani, KK Birla Goa Campus",1
Gyanmanjari institute of technology,3
ramdeobaba college of engineering and management,2
Bellary Engineering College,3
M. H. Saboo Sid,3
Sumathi Reddy Institute Of Technology For Women,3
"V. G. Vaze college, Mulund",3
Hong Kong Polytechnic University,1
VSB ENGINEERING COLLEGE,3
Sri Venkateshwara University College Of Engineering,2
Northern Illinois University,3
University school of Information and Communication Technology,2
"Guru Jambheshwar University of Science and technology , Hisar",2
Integral University,3
Universidad Industrial de Santander,2
"Institute of Management Technology, Ghaziabad",2
"DCRUST, Murthal",2
"TKR College Of Engineering And Technology, Hyderabad",3
CEG,2
Sandip Institute of Engineering and Management ,3
"SKN Sinhgad Institute Of Technology & Science, Kusgaon",3
Columbia University,1
Gsl Dental college,3
Fr. Conceicao Rodrigues College Of Engineering,3
Bannari Amman Institute of Technology,3
IIT Tirupati,1
SBB College of Physiotherapy,3
chennai institute of technology,3
aktu,2
Anna University ,2
Shri Ramdeobaba College of Engineering and Management,2
Panipat institute of engineering and technology ,3
Kanpur Institute Of Technology,3
greater noida institute of technology,3
Chaitanya Bharathi institute of technology,2
"TSSM's, PVPIT college",3
"Pillai HOC College of Engineering and Technology, Rasayani",3
Sir mvit,2
Vaagdevi College Of Engineering,3
vviet,3
"PSG Institute of Technology and Applied Research, Coimbatore",2
Pailan College of Management and Technology,3
Dr.Lankapalli Bullayya college ,3
"Cummins College Of Engineering For Women,Pune ",2
All India Shri Shivaji Memorial Society's Institute Of Information Technology,2
vignan's institution of information technology ,3
Sri Guru Gobind Singh College of Commerce,2
amrutvahini college of engineering,3
"Academy of technology,aedconagar",3
RCET Bhilai,3
IEC,3
Chanakya Technical Campus,3
Rajiv Gandhi University of health sciences,2
kle,2
Anand pharmacy college ,3
auroras engineering college,3
sree nidhi institute of science and technology,2
MCKV INSTITUTE OF ENGINEERING,3
NITTE School of Architecture and Planning,2
CR REDDY COLLEGE OF ENGINEERING,3
gayatri vidya parishad technical campus school of engineering,2
Saraswati college of Engineering ,3
CSK HPKV Palampur,2
Pune Vidyarthi Griha,3
"BITS Pilani, Dbai Campus",2
JSpm RS,3
University of Alberta,1
Holy Mary Institute of Technology and Science,3
Dms svh college,3
"Indian Institute of information Technology, jabalpur",2
Board of Telangana ,3
Gujarat Power Engineering And Research Institute,3
krishna engineering college ghaziiabad,3
Maharishi international residential school,3
St.Joseph's College Of Engineering,2
kurukshera university,2
Amrita Vishwa Vidyapeetham ,2
College of Engineering Bhubaneswar,2
Bharatiya Vidya Bhavan's Sardar Patel Institute of Technology,2
Bhashyam public school,3
